순위,업소명,주소,분류,합산 검색 수,정보
71,맥도날드삼성DT점,서울 강남구 봉은사로 432-0,간이음식,20835,"https://map.naver.com/v5/search/%EB%A7%A5%EB%8F%84%EB%82%A0%EB%93%9C%EC%82%BC%EC%84%B1DT%EC%A0%90/place/97087769?c=14140525.6483464,4519855.2832805,15,0,0,0,dh&isCorrectAnswer=true"
72,산모퉁이,서울 종로구 백석동길 153-0,카페/찻집,20824,"https://map.naver.com/v5/search/%EC%82%B0%EB%AA%A8%ED%89%81%EC%9D%B4/place/12781756?c=14133538.5803189,4522428.0881288,15,0,0,0,dh&placePath=%3Fentry%253Dbmp"
73,스타벅스신정DT점,서울 양천구 신월로 341-0,카페/찻집,20610,"https://map.naver.com/v5/search/%EC%8A%A4%ED%83%80%EB%B2%85%EC%8A%A4%EC%8B%A0%EC%A0%95DT%EC%A0%90/place/1601643645?c=14121398.4662715,4512117.7987419,15,0,0,0,dh&placePath=%3Fentry%253Dbmp"
74,임병주산동손칼국수,서울 서초구 강남대로37길 65-0,한식,20574,"https://map.naver.com/v5/search/%EC%9E%84%EB%B3%91%EC%A3%BC%EC%82%B0%EB%8F%99%EC%86%90%EC%B9%BC%EA%B5%AD%EC%88%98/place/1420055829?c=14121398.4662715,4512117.7987419,15,0,0,0,dh&isCorrectAnswer=true"
75,스윗솔트,서울 강동구 상암로 286-0,전문음식,20530,"https://map.naver.com/v5/search/%EC%8A%A4%EC%9C%97%EC%86%94%ED%8A%B8/place/1015528233?c=14154269.1526798,4515416.0362109,15,0,0,0,dh&placePath=%3Fentry%253Dbmp"
76,강강술래신림점,서울 관악구 남부순환로 1660-0,한식,20518,"https://map.naver.com/v5/search/%EA%B0%95%EA%B0%95%EC%88%A0%EB%9E%98%EC%8B%A0%EB%A6%BC%EC%A0%90/place/11718658?c=14125731.0517506,4507267.2189361,12,0,0,0,dh&placePath=%3Fentry%253Dbmp"
77,고메이494한남,서울 용산구 한남대로 91-0,전문음식,20356,"https://map.naver.com/v5/search/%EA%B3%A0%EB%A9%94%EC%9D%B4494%ED%95%9C%EB%82%A8/place/1682960660?c=14137608.7437294,4514160.5640005,15,0,0,0,dh&placePath=%3Fentry%253Dbmp"
78,토다이목동점,서울 양천구 목동동로 401-0,전문음식,20314,"https://map.naver.com/v5/search/%ED%86%A0%EB%8B%A4%EC%9D%B4%EB%AA%A9%EB%8F%99%EC%A0%90/place/12981045?c=14123874.3675941,4514138.7764439,15,0,0,0,dh&isCorrectAnswer=true"
79,더메이드뷔페,서울 강서구 마곡중앙6로 21-0,전문음식,20265,"https://map.naver.com/v5/search/%EB%8D%94%EB%A9%94%EC%9D%B4%EB%93%9C%EB%B7%94%ED%8E%98/place/1657448449?c=14123874.3675941,4514138.7764439,15,0,0,0,dh&isCorrectAnswer=true"
80,1인1잔,서울 은평구 연서로 534-0,카페/찻집,20188,"https://map.naver.com/v5/search/1%EC%9D%B81%EC%9E%94/place/1101064446?c=14130196.6912815,4528833.1041566,15,0,0,0,dh&placePath=%3Fentry%253Dbmp"
81,카페산아래,서울 강북구 삼양로181길 56-0,카페/찻집,20123,"https://map.naver.com/v5/search/%EC%B9%B4%ED%8E%98%EC%82%B0%EC%95%84%EB%9E%98/place/1499941915?c=14138291.3993741,4532458.7415614,15,0,0,0,dh&placePath=%3Fentry%253Dbmp"
82,쟝블랑제리,서울 관악구 낙성대역길 8-0,간이음식,20115,"https://map.naver.com/v5/search/%EC%9F%9D%EB%B8%94%EB%9E%91%EC%A0%9C%EB%A6%AC/place/12800337?c=14132877.8880095,4505823.7185392,15,0,0,0,dh&placePath=%3Fentry%253Dbmp"
83,블루보틀성수카페,서울 성동구 아차산로 7-0,카페/찻집,20061,"https://map.naver.com/v5/search/%EB%B8%94%EB%A3%A8%EB%B3%B4%ED%8B%80%EC%84%B1%EC%88%98%EC%B9%B4%ED%8E%98/place/1725895520?c=14142191.7671651,4515784.1312598,15,0,0,0,dh&isCorrectAnswer=true"
84,맥도날드서울시흥DT점,서울 금천구 시흥대로 184-0,간이음식,19920,"https://map.naver.com/v5/search/%EB%A7%A5%EB%8F%84%EB%82%A0%EB%93%9C%EC%84%9C%EC%9A%B8%EC%8B%9C%ED%9D%A5DT%EC%A0%90/place/36665702?c=14142191.7671651,4515784.1312598,15,0,0,0,dh&isCorrectAnswer=true"
85,몽중헌청담점 [중식],서울 강남구 도산대로 445-0,외국식,19782,"https://map.naver.com/v5/search/%EB%AA%BD%EC%A4%91%ED%97%8C%EC%B2%AD%EB%8B%B4%EC%A0%90%20%5B%EC%A4%91%EC%8B%9D%5D/place/13506631?c=14142096.8227714,4512448.3856199,15,0,0,0,dh&isCorrectAnswer=true"
86,쉐이크쉑청담점,서울 강남구 도산대로 327-0,간이음식,19720,"https://map.naver.com/v5/search/%EC%89%90%EC%9D%B4%ED%81%AC%EC%89%91%EC%B2%AD%EB%8B%B4%EC%A0%90/place/876646309?c=14142096.8227714,4512448.3856199,15,0,0,0,dh&isCorrectAnswer=true"
87,감나무집기사식당,서울 마포구 연남로 23-0,한식,19479,"https://map.naver.com/v5/search/%EA%B0%90%EB%82%98%EB%AC%B4%EC%A7%91%EA%B8%B0%EC%82%AC%EC%8B%9D%EB%8B%B9/place/12985100?c=14142096.8227714,4512448.3856199,15,0,0,0,dh&isCorrectAnswer=true"
88,스테이지28,서울 강동구 아리수로61길 105-0,전문음식,19397,"https://map.naver.com/v5/search/%EC%8A%A4%ED%85%8C%EC%9D%B4%EC%A7%8028/place/36960545?c=14153475.0773560,4518269.7610948,15,0,0,0,dh&placePath=%3Fentry%253Dbmp"
89,카페노티드삼성,서울 강남구 테헤란로103길 9-0,카페/찻집,19387,"https://map.naver.com/v5/search/%EC%B9%B4%ED%8E%98%EB%85%B8%ED%8B%B0%EB%93%9C%EC%82%BC%EC%84%B1/place/1182668560?c=14144239.2331634,4510448.5736926,15,0,0,0,dh&placePath=%3Fentry%253Dbmp"
90,맥도날드가락DT점,서울 송파구 동남로 196-0,간이음식,19365,"https://map.naver.com/v5/search/%EB%A7%A5%EB%8F%84%EB%82%A0%EB%93%9C%EA%B0%80%EB%9D%BD/place/1968466314?c=14151670.7776535,4508315.5296508,15,0,0,0,dh&placePath=%3Fentry%253Dbmp"
91,돈까스잔치동빙고점,서울 용산구 서빙고로 297-0,전문음식,19348,"https://map.naver.com/v5/search/%EB%8F%88%EA%B9%8C%EC%8A%A4%EC%9E%94%EC%B9%98%EB%8F%99%EB%B9%99%EA%B3%A0%EC%A0%90/place/37264466?c=14136721.1377693,4511994.1032908,15,0,0,0,dh&isCorrectAnswer=true"
92,맥도날드서초GS점,서울 서초구 효령로49길 52-0,간이음식,19346,"https://map.naver.com/v5/search/%EB%A7%A5%EB%8F%84%EB%82%A0%EB%93%9C%EC%84%9C%EC%B4%88GS%EC%A0%90/place/20224717?c=14138186.6366021,4507134.1813263,15,0,0,0,dh&isCorrectAnswer=true"
93,어머니대성집,서울 동대문구 왕산로11길 4-0,한식,19304,"https://map.naver.com/v5/search/%EC%96%B4%EB%A8%B8%EB%8B%88%EB%8C%80%EC%84%B1%EC%A7%91/place/11623967?c=14138186.6366021,4507134.1813263,15,0,0,0,dh&isCorrectAnswer=true"
94,아웃백스테이크하우스공항점,서울 강서구 마곡중앙6로 16-0,전문음식,19239,"https://map.naver.com/v5/search/%EC%95%84%EC%9B%83%EB%B0%B1%EC%8A%A4%ED%85%8C%EC%9D%B4%ED%81%AC%ED%95%98%EC%9A%B0%EC%8A%A4%EA%B3%B5%ED%95%AD%EC%A0%90/place/11627476?c=14140292.0443794,4519908.6021952,15,0,0,0,dh&isCorrectAnswer=true"
95,진주회관,서울 중구 세종대로11길 26-0,한식,19189,"https://map.naver.com/v5/search/%EC%A7%84%EC%A3%BC%ED%9A%8C%EA%B4%80/place/11679660?c=14134272.3427424,4517779.6123152,15,0,0,0,dh&placePath=%3Fentry%253Dbmp"
96,군산오징어본점,서울 송파구 삼학사로 101-0,전문음식,18972,"https://map.naver.com/v5/search/%EA%B5%B0%EC%82%B0%EC%98%A4%EC%A7%95%EC%96%B4%EB%B3%B8%EC%A0%90/place/11710960?c=14147911.8941365,4509910.1117992,15,0,0,0,dh&isCorrectAnswer=true"
97,북한산제빵소,서울 은평구 연서로48길 52-0,간이음식,18957,"https://map.naver.com/v5/search/%EB%B6%81%ED%95%9C%EC%82%B0%EC%A0%9C%EB%B9%B5%EC%86%8C/place/1446678987?c=14130317.5174574,4530776.4098242,15,0,0,0,dh&placePath=%3Fentry%253Dbmp"
98,태극당장충본점,서울 중구 동호로24길 7-0,간이음식,18896,"https://map.naver.com/v5/search/%ED%83%9C%EA%B7%B9%EB%8B%B9%EC%9E%A5%EC%B6%A9%EB%B3%B8%EC%A0%90/place/11714659?c=14137680.7785715,4517390.9446736,15,0,0,0,dh&isCorrectAnswer=true"
99,맥도날드종암SK DT점,서울 성북구 종암로 58-0,간이음식,18881,"https://map.naver.com/v5/search/%EB%A7%A5%EB%8F%84%EB%82%A0%EB%93%9C%EC%A2%85%EC%95%94SK%20DT%EC%A0%90/place/18265144?c=14141106.1794909,4522476.2358321,15,0,0,0,dh&placePath=%3Fentry%253Dbmp"
100,진주집,서울 영등포구 국제금융로6길 33-0,한식,18858,"https://map.naver.com/v5/search/%EC%A7%84%EC%A3%BC%EC%A7%91/place/11678773?c=14128963.7499977,4511935.2526718,15,0,0,0,dh&placePath=%3Fentry%253Dbmp"
101,강강술래당산점,서울 영등포구 선유로 251-0,한식,18853,"https://map.naver.com/v5/search/%EA%B0%95%EA%B0%95%EC%88%A0%EB%9E%98%EB%8B%B9%EC%82%B0%EC%A0%90/place/1825823290?c=14128963.7499977,4511935.2526718,15,0,0,0,dh&isCorrectAnswer=true"
102,유천냉면본점,서울 송파구 강동대로3길 22-0,한식,18820,"https://map.naver.com/v5/search/%EC%9C%A0%EC%B2%9C%EB%83%89%EB%A9%B4%EB%B3%B8%EC%A0%90/place/30864029?c=14149507.9429290,4513032.4577712,15,0,0,0,dh&placePath=%3Fentry%253Dbmp"
103,코끼리베이글한남점,서울 용산구 서빙고로91길 10-0,카페/찻집,18778,"https://map.naver.com/v5/search/%EC%BD%94%EB%81%BC%EB%A6%AC%EB%B2%A0%EC%9D%B4%EA%B8%80/place/1664248502?c=14125268.6219520,4513130.8005855,15,0,0,0,dh&placePath=%3Fentry%253Dbmp"
104,홍능갈비집본점,서울 동대문구 제기로 85-0,한식,18754,"https://map.naver.com/v5/search/%ED%99%8D%EB%8A%A5%EA%B0%88%EB%B9%84%EC%A7%91%EB%B3%B8%EC%A0%90/place/19885742?c=14141848.4397518,4521231.5264149,15,0,0,0,dh&isCorrectAnswer=true"
105,울프강스테이크하우스,서울 강남구 선릉로152길 21-0,전문음식,18601,"https://map.naver.com/v5/search/%EC%9A%B8%ED%94%84%EA%B0%95%EC%8A%A4%ED%85%8C%EC%9D%B4%ED%81%AC%ED%95%98%EC%9A%B0%EC%8A%A4/place/36449091?c=14141725.6724573,4512468.2747825,15,0,0,0,dh&isCorrectAnswer=true"
106,홍대입구,서울 마포구,음식점기타,18567,"https://map.naver.com/v5/search/%ED%99%8D%EB%8C%80%EC%9E%85%EA%B5%AC/subway-station/239?c=14128651.3986386,4517034.5885803,15,0,0,0,dh"
107,성북동빵공장,서울 성북구 대사관로 40-0,간이음식,18499,"https://map.naver.com/v5/search/%EC%84%B1%EB%B6%81%EB%8F%99%EB%B9%B5%EA%B3%B5%EC%9E%A5/place/63234658?c=14135353.3913758,4522492.3928291,15,0,0,0,dh&placePath=%3Fentry%253Dbmp"
108,버드나무집서초본점,서울 서초구 효령로 434-0,한식,18424,"https://map.naver.com/v5/search/%EB%B2%84%EB%93%9C%EB%82%98%EB%AC%B4%EC%A7%91%EC%84%9C%EC%B4%88%EB%B3%B8%EC%A0%90/place/11627634?c=14140577.1558749,4507508.0321074,15,0,0,0,dh&isCorrectAnswer=true"
109,오장동흥남집본점,서울 중구 마른내로 114-0,한식,18318,"https://map.naver.com/v5/search/%EC%98%A4%EC%9E%A5%EB%8F%99%ED%9D%A5%EB%82%A8%EC%A7%91%EB%B3%B8%EC%A0%90/place/11678488?c=14137168.3972190,4518068.3313501,15,0,0,0,dh&isCorrectAnswer=true"
110,스타벅스화곡DT점,서울 강서구 등촌로 57-0,카페/찻집,18303,"https://map.naver.com/v5/search/%EC%8A%A4%ED%83%80%EB%B2%85%EC%8A%A4%ED%99%94%EA%B3%A1DT%EC%A0%90/place/38667808?c=14121876.0320848,4513945.9408615,15,0,0,0,dh&isCorrectAnswer=true"
111,스타벅스낙성대DT점,서울 관악구 남부순환로 1948-0,카페/찻집,18281,"https://map.naver.com/v5/search/%EC%8A%A4%ED%83%80%EB%B2%85%EC%8A%A4%EB%82%99%EC%84%B1%EB%8C%80DT%EC%A0%90/place/38412114?c=14121876.0320848,4513945.9408615,15,0,0,0,dh&isCorrectAnswer=true"
112,나폴레옹과자점본점,서울 성북구 성북로 7-0,간이음식,18096,"https://map.naver.com/v5/search/%EB%82%98%ED%8F%B4%EB%A0%88%EC%98%B9%EA%B3%BC%EC%9E%90%EC%A0%90%EB%B3%B8%EC%A0%90/place/11627707?c=14135006.5615765,4517578.7958549,15,0,0,0,dh&placePath=%3Fentry%253Dbmp"
113,VIPS프리미어등촌점,서울 강서구 공항대로 311-0,전문음식,17994,"https://map.naver.com/v5/search/VIPS%ED%94%84%EB%A6%AC%EB%AF%B8%EC%96%B4%EB%93%B1%EC%B4%8C%EC%A0%90/place/11680240?c=14119078.0588078,4517247.9907379,15,0,0,0,dh&placePath=%3Fentry%253Dbmp"
114,장꼬방김치찌개전문,서울 서초구 효령로 364-0,한식,17743,"https://map.naver.com/v5/search/%EC%9E%A5%EA%BC%AC%EB%B0%A9%EA%B9%80%EC%B9%98%EC%B0%8C%EA%B0%9C%EC%A0%84%EB%AC%B8/place/11819292?c=14139279.2513295,4507187.2951587,15,0,0,0,dh&placePath=%3Fentry%253Dbmp"
115,쿠우쿠우보라매공원점,서울 동작구 보라매로5가길 16-0,전문음식,17660,"https://map.naver.com/v5/search/%EC%BF%A0%EC%9A%B0%EC%BF%A0%EC%9A%B0%EB%B3%B4%EB%9D%BC%EB%A7%A4%EA%B3%B5%EC%9B%90%EC%A0%90/place/1085538434?c=14128190.6277963,4507814.4122607,15,0,0,0,dh&placePath=%3Fentry%253Dbmp"
116,한우리본점,서울 강남구 도산대로 304-0,한식,17630,"https://map.naver.com/v5/search/%ED%95%9C%EC%9A%B0%EB%A6%AC%EB%B3%B8%EC%A0%90/place/11725907?c=14140505.6247649,4512009.9914704,15,0,0,0,dh&placePath=%3Fentry%253Dbmp"
117,마루심본점,서울 서초구 고무래로10길 10-0,전문음식,17622,"https://map.naver.com/v5/search/%EB%A7%88%EB%A3%A8%EC%8B%AC/place/20206990?c=14137820.1586460,4509301.8981110,15,0,0,0,dh&placePath=%3Fentry%253Dbmp"
118,VIPS어린이대공원점,서울 광진구 광나루로 410-0,전문음식,17522,"https://map.naver.com/v5/search/VIPS%EC%96%B4%EB%A6%B0%EC%9D%B4%EB%8C%80%EA%B3%B5%EC%9B%90%EC%A0%90/place/1383869527?c=14144996.4867935,4515568.7090710,15,0,0,0,dh&placePath=%3Fentry%253Dbmp"
119,김영모과자점도곡타워점,서울 강남구 언주로30길 10-0,간이음식,17518,"https://map.naver.com/v5/search/%EA%B9%80%EC%98%81%EB%AA%A8%EA%B3%BC%EC%9E%90%EC%A0%90%EB%8F%84%EA%B3%A1%ED%83%80%EC%9B%8C%EC%A0%90/place/12447840?c=14142829.8347480,4507263.9194032,15,0,0,0,dh&isCorrectAnswer=true"
120,하누소창동본점,서울 도봉구 노해로 327-0,한식,17419,"https://map.naver.com/v5/search/%ED%95%98%EB%88%84%EC%86%8C%EC%B0%BD%EB%8F%99%EB%B3%B8%EC%A0%90/place/19769534?c=14142098.9489736,4530312.5007981,15,0,0,0,dh&isCorrectAnswer=true"
121,리치몬드과자점성산본점,서울 마포구 월드컵북로 86-0,간이음식,17126,"https://map.naver.com/v5/search/%EB%A6%AC%EC%B9%98%EB%AA%AC%EB%93%9C%EA%B3%BC%EC%9E%90%EC%A0%90%EC%84%B1%EC%82%B0%EB%B3%B8%EC%A0%90/place/31583489?c=14142098.9489736,4530312.5007981,15,0,0,0,dh&isCorrectAnswer=true"
122,더아리엘목동점,서울 양천구 오목로 300-0,전문음식,16897,"https://map.naver.com/v5/search/%EB%8D%94%EC%95%84%EB%A6%AC%EC%97%98%EB%AA%A9%EB%8F%99%EC%A0%90/place/1266733121?c=14122744.1630680,4512499.6736288,15,0,0,0,dh&isCorrectAnswer=true"
123,우래옥강남점,서울 강남구 영동대로 313-0,한식,16727,"https://map.naver.com/v5/search/%EC%9A%B0%EB%9E%98%EC%98%A5/place/11679381?c=14136498.1676239,4518615.0642076,15,0,0,0,dh&placePath=%3Fentry%253Dbmp"
124,스타벅스신림DT점,서울 관악구 남부순환로 1419-0,카페/찻집,16585,"https://map.naver.com/v5/search/%EC%8A%A4%ED%83%80%EB%B2%85%EC%8A%A4%EC%8B%A0%EB%A6%BCDT%EC%A0%90/place/1830884794?c=14136498.1676239,4518615.0642076,15,0,0,0,dh&isCorrectAnswer=true"
125,경복궁방이점 [한식],서울 송파구 올림픽로 348-0,한식,16561,"https://map.naver.com/v5/search/%EA%B2%BD%EB%B3%B5%EA%B6%81%EB%B0%A9%EC%9D%B4%EC%A0%90%20%5B%ED%95%9C%EC%8B%9D%5D/place/20095541?c=14148785.6899486,4511274.4470631,15,0,0,0,dh&isCorrectAnswer=true"
126,성수족발,서울 성동구 아차산로7길 7-0,전문음식,16523,"https://map.naver.com/v5/search/%EC%84%B1%EC%88%98%EC%A1%B1%EB%B0%9C/place/19862383?c=14142695.0008494,4515497.9884341,15,0,0,0,dh&placePath=%3Fentry%253Dbmp"
127,스타벅스강동암사DT점,서울 강동구 고덕로 43-0,카페/찻집,16444,"https://map.naver.com/v5/search/%EC%8A%A4%ED%83%80%EB%B2%85%EC%8A%A4%EA%B0%95%EB%8F%99%EC%95%94%EC%82%ACDT%EC%A0%90/place/1368758481?c=14142695.0008494,4515497.9884341,15,0,0,0,dh&isCorrectAnswer=true"
128,연희동손칼국수본점,서울 서대문구 연희맛로 37-0,한식,16387,"https://map.naver.com/v5/search/%EC%97%B0%ED%9D%AC%EB%8F%99%EC%86%90%EC%B9%BC%EA%B5%AD%EC%88%98%EB%B3%B8%EC%A0%90/place/11727641?c=14129402.1706803,4518603.0141492,15,0,0,0,dh&isCorrectAnswer=true"
129,옛골토성청계산점,서울 서초구 청계산로 434-0,전문음식,16365,"https://map.naver.com/v5/search/%EC%98%9B%EA%B3%A8%ED%86%A0%EC%84%B1%EC%B2%AD%EA%B3%84%EC%82%B0%EC%A0%90/place/34907131?c=14145003.4859956,4499277.4769025,15,0,0,0,dh&placePath=%3Fentry%253Dbmp"
130,스타벅스신월IC DT점,서울 양천구 남부순환로 430-0,카페/찻집,16290,"https://map.naver.com/v5/search/%EC%8A%A4%ED%83%80%EB%B2%85%EC%8A%A4%EC%8B%A0%EC%9B%94IC%20DT%EC%A0%90/place/36960746?c=14118423.4528801,4513171.1991715,15,0,0,0,dh&placePath=%3Fentry%253Dbmp"
131,스타벅스송파마천사거리DT점,서울 송파구 거마로 78-0,카페/찻집,16207,"https://map.naver.com/v5/search/%EC%8A%A4%ED%83%80%EB%B2%85%EC%8A%A4%EC%86%A1%ED%8C%8C%EB%A7%88%EC%B2%9C%EC%82%AC%EA%B1%B0%EB%A6%ACDT%EC%A0%90/place/1893737476?c=14153548.3144488,4509007.3992140,15,0,0,0,dh&placePath=%3Fentry%253Dbmp"
132,마켓오도곡점,서울 강남구 남부순환로 2745-0,전문음식,16141,"https://map.naver.com/v5/search/%EB%A7%88%EC%BC%93%EC%98%A4/place/12838557?c=14140585.6300823,4512059.9860594,15,0,0,0,dh&placePath=%3Fentry%253Dbmp"
133,아웃백스테이크하우스천호점,서울 강동구 올림픽로 660-0,전문음식,16085,"https://map.naver.com/v5/search/%EC%95%84%EC%9B%83%EB%B0%B1%EC%8A%A4%ED%85%8C%EC%9D%B4%ED%81%AC%ED%95%98%EC%9A%B0%EC%8A%A4%EC%B2%9C%ED%98%B8%EC%A0%90/place/11621117?c=14150498.1075404,4514670.5210491,15,0,0,0,dh&isCorrectAnswer=true"
134,성북동메밀수제비누룽지백숙,서울 성북구 성북로31길 9-0,한식,15910,"https://map.naver.com/v5/search/%EC%84%B1%EB%B6%81%EB%8F%99%EB%A9%94%EB%B0%80%EC%88%98%EC%A0%9C%EB%B9%84%EB%88%84%EB%A3%BD%EC%A7%80%EB%B0%B1%EC%88%99/place/11727585?c=14135585.1140285,4522311.6185299,15,0,0,0,dh&isCorrectAnswer=true"
135,자하손만두,서울 종로구 백석동길 12-0,한식,15564,"https://map.naver.com/v5/search/%EC%9E%90%ED%95%98%EC%86%90%EB%A7%8C%EB%91%90/place/11688084?c=14132868.0278965,4522119.2287677,15,0,0,0,dh&isCorrectAnswer=true"
136,아이러브신당동,서울 중구 퇴계로76길 50-0,간이음식,15313,"https://map.naver.com/v5/search/%EC%95%84%EC%9D%B4%EB%9F%AC%EB%B8%8C%EC%8B%A0%EB%8B%B9%EB%8F%99/place/11710170?c=14138296.0398927,4517900.6794395,15,0,0,0,dh&placePath=%3Fentry%253Dbmp"
137,고센클래식,서울 강남구 선릉로158길 18-0,카페/찻집,15129,"https://map.naver.com/v5/search/%EA%B3%A0%EC%84%BC/place/11585300?c=14141259.6696169,4512579.9749279,15,0,0,0,dh&placePath=%3Fentry%253Dbmp"
