기준연월,지역명,검색량(건)
Nov.19,서울특별시,78421
Dec.19,서울특별시,80863
Jan.20,서울특별시,93418
Feb.20,서울특별시,80859
Mar.20,서울특별시,131188
Apr.20,서울특별시,98527
May.20,서울특별시,104859
Jun.20,서울특별시,95142
Jul.20,서울특별시,100934
Aug.20,서울특별시,112465
Sep.20,서울특별시,65040
Oct.20,서울특별시,75845
Nov.20,서울특별시,94884
Dec.20,서울특별시,62805
Jan.21,서울특별시,65339
Feb.21,서울특별시,81560
Mar.21,서울특별시,111792
Apr.21,서울특별시,91400
May.21,서울특별시,116323
Jun.21,서울특별시,109428
Jul.21,서울특별시,93734
Aug.21,서울특별시,109519
Sep.21,서울특별시,113839
Oct.21,서울특별시,112383
Nov.21,서울특별시,139534
Dec.21,서울특별시,124227
Jan.22,서울특별시,135449
Feb.22,서울특별시,160601
Mar.22,서울특별시,180361
Apr.22,서울특별시,184274
May.22,서울특별시,203117
Jun.22,서울특별시,257202
Jul.22,서울특별시,359937
Aug.22,서울특별시,301275
Sep.22,서울특별시,230533
Oct.22,서울특별시,312169