업종대분류명,업종중분류명,중분류 소비액(21~22),중분류 소비액(21~22),중분류 소비액(19~20),중분류 소비액(합)
여가서비스업,골프장,1.28E+11,1.10E+11,9.84E+10,3.37E+11
쇼핑업,관광기념품,1.54E+10,1.09E+10,1.15E+10,3.78E+10
여가서비스업,관광유원시설,4.42E+10,2.33E+10,2.27E+10,9.02E+10
여가서비스업,기타레저,6.52E+10,4.83E+10,6.86E+10,1.82E+11
숙박업,기타숙박,1.36E+11,1.02E+11,1.13E+11,3.51E+11
쇼핑업,대형쇼핑몰,3.22E+12,2.57E+12,2.52E+12,8.32E+12
쇼핑업,레저용품쇼핑,4.99E+11,4.51E+11,4.74E+11,1.42E+12
운송업,렌터카,7.72E+09,7.33E+09,1.13E+10,2.64E+10
쇼핑업,면세점,3.65E+10,1.98E+10,3.56E+10,9.19E+10
여가서비스업,문화서비스,1.81E+11,8.81E+10,1.11E+11,3.81E+11
운송업,수상운송,7.63E+10,3.83E+10,3.44E+10,1.49E+11
여가서비스업,스키장,2.37E+09,1.28E+09,2.09E+09,5.74E+09
식음료업,식음료,6.16E+12,4.76E+12,5.95E+12,1.69E+13
여행업,여행업,3.04E+10,1.49E+10,5.23E+10,9.76E+10
운송업,육상운송,3.20E+11,1.77E+11,1.94E+11,6.91E+11
숙박업,캠핑장/펜션,7.49E+07,6.09E+07,9.02E+07,2.26E+08
숙박업,콘도,1.35E+09,1.08E+09,1.15E+09,3.58E+09
운송업,항공운송,3.53E+11,1.13E+11,2.21E+11,6.86E+11
숙박업,호텔,2.90E+11,2.04E+11,2.17E+11,7.11E+11