기준연월,지역명,방문자 수
Nov.19,서울특별시,6.29E+07
Dec.19,서울특별시,5.61E+07
Jan.20,서울특별시,5.11E+07
Feb.20,서울특별시,4.05E+07
Mar.20,서울특별시,3.60E+07
Apr.20,서울특별시,3.75E+07
May.20,서울특별시,4.28E+07
Jun.20,서울특별시,3.99E+07
Jul.20,서울특별시,4.49E+07
Aug.20,서울특별시,3.87E+07
Sep.20,서울특별시,3.67E+07
Oct.20,서울특별시,4.41E+07
Nov.20,서울특별시,4.08E+07
Dec.20,서울특별시,3.31E+07
Jan.21,서울특별시,3.55E+07
Feb.21,서울특별시,3.76E+07
Mar.21,서울특별시,4.68E+07
Apr.21,서울특별시,3.81E+07
May.21,서울특별시,4.13E+07
Jun.21,서울특별시,4.07E+07
Jul.21,서울특별시,3.73E+07
Aug.21,서울특별시,3.76E+07
Sep.21,서울특별시,4.11E+07
Oct.21,서울특별시,4.37E+07
Nov.21,서울특별시,4.51E+07
Dec.21,서울특별시,4.26E+07
Jan.22,서울특별시,4.28E+07
Feb.22,서울특별시,3.65E+07
Mar.22,서울특별시,4.55E+07
Apr.22,서울특별시,4.75E+07
May.22,서울특별시,4.93E+07
Jun.22,서울특별시,4.55E+07
Jul.22,서울특별시,4.91E+07
Aug.22,서울특별시,4.68E+07
Sep.22,서울특별시,5.00E+07
Oct.22,서울특별시,5.04E+07